gracintyAvyaktarUpAya	acintyAvyaktarUpAya
tiryageva	tiryageva
prasAryate	prasAryate
taTA	taTA
ca	ca
karRasUtre	karRasUtre
parilecca	parileKaH
34	34
etayoH	etayoH
pASvani	pArSvAni
pUritAni	pUritAni
caturaSrakzetraM	caturaSrakzetraM
nizpannam	nizpannam
parileKaH	parileKaH
35	35
sADyA	sADyA
jalena	jalena
samaBUH	samaBUH
jalena	jalena
sADyate	sADyate
tadyaTAcakzuHsUtrasamIkftAyAmavanO	tadyaTA^cakzuHsUtrasamIkftAyAmavanO
trikAzWopari	trikAzWopari
nirvAte	nirvAte
jalakuBBaM	jalakumBaM
niDAya	niDAya
aDaH	aDaH
suziraM	suziraM
kuryAt	kuryAt
yaTA	yaTA
tadudakamekarUpayA	tadudakamekarUpayA
DArayA	DArayA
sravati	sravati
tatprasrutamamBaH	tat^prasrutaM^amBaH
samantAt	samantAt
parivartulaM	parivartulaM
yatra	yatra
prayAti	prayAti
sA	sA
BUH	BUH
samA	samA
yatra	yatra
tadamBo	tadamBo
vfttaM	vfttaM
BaNktvA	BaNktvA
pratizWate	pratizWate
tannimnaM	tatnimnaM
yatra	yatra
nAvagAhfte	nAvagAhate
tadunnatamiti	tadunnatamiti
aDa	aDaH
UrDvaM	UrDvaM
lambakenEva	lambakenEva
praDa	aDa
upalakzitasya	upalakzitasya
ya	ya
UDvaM^pradeSa	UrDvapradeSaH
so$valambakenEva	so$valambakenEva
sADyate	sADyate
UDrvapradeSasya	UrDvapradeSasya
vA	vA
yo$DapradeSaH	yo$DaHpradeSaH
prasAvapyavalambakenEva	asAvapyavalambakenEva
SravalambakaSca	avalambakaH^ca
gurudravyEkAgrAsaktaM	gurudravyEkAgrAsaktaM
sUtramiti	sUtramiti
13	13
svavfttavizkamBArDam	svavfttavizkamBArDam
svavfttavizkamBADAnayanArTamAha	svavfttavizkamBArDAnayanArTamAha
SaNkoH	SaNkoH
pramARavarge	pramARavargaM
CAyAvargeRa	CAyAvargeRa
saMyutaM	saMyutaM
kftvA	kftvA
yattasya	yattasya
vargamUlaM	vargamUlaM
vizkamBArDe	vizkamBArDaM
svavfttasya	svavfttasya
14	14
SaNkarAkAraprakAravivecanam	SaNkorAkAraprakAravivecanam
gratra	atra
SaNkorAkArapramARayoveipravadante'	SaNkorAkArapramARayorvipravadante
sAMvatsarAH	sAMvatsarAH
kecit	kecit
tAvadAhuH	tAvadAhuH
dvAdaSANgulaSaNkurmulatriBAge	dvAdaSANgulaSaNkurmUlatriBAge
caturaSro	caturaSraH
maDyatriBAge	maDyatriBAge
vyaSriH	tryaSriH
uparitriBAge	uparitriBAge
SUlAkAra	SUlAkAra
iti	iti
sUkzmatvAdvigrahsya	sUkzmatvAdvigrahasya
sUkzmayEkayA	sUkzmayEkayA
kowyA	kowyA
CAyAgrasya	CAyAgrasya
sulakzyatvAcCezESca	sulakzyatvAt^SezESca
duHsampAdatvAditi	duHsampAdatvAditi
tacca	tacca
na	na
SUlAgrasyAvalambakasya	SUlAgrasyAvalambakasya
vinyAsABAvAt	vinyAsABAvAt
fjutEva	fjutEva
duHsampAdyA	duHsampAdyA
tadaBAvAtsarvaguRABAvaH	tadaBAvAtsarvaguRABAvaH
gopucCAkftivfttodarastu	gopucCAkftivfttodarastu
BrazwAvalambakatvenEva	BrazwAvalambakatvenEva
pratyAKyAtA	pratyAKyAtA
apara	apara
prAhuH	AhuH
caturaSraScatudeiSamavalambakasADanasamBavAtkowidvayena	caturaSraScaturdiSamavalambakasADanasamBavAtkowidvayena
CAyAgrahRAdaBIzwakowyAM	CAyAgrahaRAdaBIzwakowyAM
diggrahRasidDiriti	diggrahaRasidDiriti
etadapi	etadapi
yujyate'	yujyate
kintu	kintu
tAdfSasya	tAdfSasya
samprati	samprati
SilpinassamacaturaSrakzetrasampAdino	SilpinaH^samacaturaSrakzetrasampAdinaH
durlaBatvAdyadyapi	durlaBatvAdyadapi
svaByastavidyaH	svaByastavidyaH
kaScit	kaScit
kadAcit	kadAcit
samBavet	samBavet
taTApi	taTApi
pratikzaRa	pratikzaRaM
sUryasyABimuKasTApanAt	sUryasyABimuKasTApanAt
puna	punaH
lANkormuKacAlanaM	SaNkoH^muKacAlanaM
kartavyam	kartavyam
taTA	taTA
cAtisUkzmadfSastAvatABIzwacCAyAtikrAntA	cAtisUkzmadfSastAvadABIzwacCAyAtikrAntA
syAditi	syAditi
dozaH	dozaH
etasmAtparityAjyo$yamapi	etasmAt^parityAjyaH^ayamapi
SaNkuH	SaNkuH
pranenEva	anenEva
sarvatra	sarvatra
SaNkavaH	SaNkavaH
prayuktAH	prayuktAH
AryaBawIyA	AryaBawIyAH
svamatamaBininizWApayizavo	svamatamaBininizWApayizavo
vyAvarRayanti	vyAvarRayanti
tadyaTA	tadyaTA
praSastadArumayo	praSastadArumayaH
hyasuziro	hyasuziraH
rAjigranTivraRavajito	rAjigranTavraRavarjitaH
BramasidDo	BramasidDaH
mUlamaDyAgrAntarAlatulyavftto	mUlamaDyAgrAntarAlatulyavfttaH
nAlpavyAso	nAlpavyAsaH
nAlpAyAmaSca	nAlpAyAmaSca
praSastaH	praSastaH
triBiScatuBiva	triBiScaturBirvA
pravalambarkarasya	avalambakErasya
fjusTitiH	fjusTitiH
sADayitavyA	sADayitavyA
SaNkormaDyasUtrasyAsidDatvAdavalambakasTitirapi	SaNkoH^maDyasUtrasyAsidDatvAdavalambakasTitirapi
duHsampAdyetyataH	duHsampAdyetyataH
SaNkumaDyasUtrasADanaM	SaNkumaDyasUtrasADanaM
pradarSyate	pradarSyate
tadyaTASaNkumucce	tadyaTA^SaNkumucce
pradeSe	pradeSe
niScalaM	niScalaM
niDAya	niDAya
pravalambakena	avalambakena
SaNkumUlamastakayormaDye	SaNkumUlamastakayormaDye
vijYAya	vijYAya
tadagrasaktaM	tadagrasaktaM
sUtraM	sUtraM
prasAryoBayapASrve	prasArya^uBayapArSve
ca	ca
leKe	leKe
kuryAd	kuryAt
etaduBayapASrvamaDyaleKe'	etaduBayapArSvamaDyaleKe
tataH	tataH
punarapi	punarapi
karkawakena	karkawakena
lohena	lohena
mUlAgramaDyasUtrAByAM	mUlAgramaDyasUtrAByAM
matsyamutpAdya	matsyamutpAdya
SezamaDyaleKAsADanam	SezamaDyaleKAsADanam
nanu	nanu
cAtrApi	cAtrApi
dozo$styeva	dozo$styeva
sarvadikzu	sarvadikzu
tanmastakasya	tanmastakasya
CAyAgrasya	CAyAgrasya
vipulavfttatvAcCAyAmaDyaM	vipulavfttatvAcCAyAmaDyaM
durlakzyam	durlakzyaM
tena	tena
ca	ca
vinA$$digrahaRABAva	vinA$$digrahaRABAvaH
iti	iti
nEza	nEzaH
dozaH	dozaH
SaNkorupari	SaNkorupari
kendre	kendre
vizkamBADaDikAnyA	vizkamBArDADikAnyA
samavfttA	samavfttA
SalAkA	SalAkA
maDyaprasADinI	maDyaprasADinI
lohI	lohI
dArvI	dArvI
vA	vA
kriyate	kriyate
tadA$$digrahRamaDyaparijYAnaM	tadA$$digrahaRamaDyaparijYAnaM
ca	ca
BavizyatIti	BavizyatIti
aTavA	aTavA
prAjYasyAvalambakasUtreRa	prAjYasyAvalambakasUtreRa
pUrvavinyastenEva	pUrvavinyastenEva
kiYcidutkziptena	kiYcidutkziptena
maDyaparijYAnam	maDyaparijYAnam
praTANgulaviBAgAttIkzRena	aTANgulaviBAgAttIkzRena
SastreRa	SastreRa
manAk	manAk
SakalitaM	SakalitaM
kftam	kftam
granyaTA	anyaTA
hri	hi
pramARagrahRamanarTakaM	pramARagrahaRamanarTakaM
syAt	syAt
tasmAdyaTezwapramARa	tasmAdyaTezwapramARaH
SaNkudvAdaSANgula	SaNkurdvAdaSANgula
iti	iti
suprasidDamaNgIkftyocyate	suprasidDamaNgIkftyocyate
uddeSakezvetatpratipAdayizyAmaH	uddeSakezvetatpratipAdayizyAmaH
yAvadyAvadayaM	yAvadyAvadayaM
pfTuH	pfTuH
guruSca	guruSca
Bavati	Bavati
tAvattAvad	tAvattAvad
vAyunA	vAyunA
nEva	nEva
cAlyate	cAlyate
yAvadyAvacca	yAvadyAvacca
dIrGo	dIrGaH
Bavati	Bavati
tAvattAvaccANgulAvayavAH	tAvattAvaccANgulAvayavAH
sUkzmA	sUkzmAH
suparijYAtA	suparijYAtAH
Bavanti	Bavanti
tasmAt	tasmAt
pfTugurudIrGezvAdara	pfTugurudIrGezvAdaraH
kArya	kAryaH
ityaBihfitaH	ityaBihitaH
SaNkorAvAraH	SaNkorAkAraH
SaNkupramARavivecanam	SaNkupramARavivecanam
idAnI	idAnIM
pramARamupadekzyAmaH	pramARamupadekzyAmaH
kecidAhuHarDahasto	kecidAhuH^arDahastaH
dvAdaSaDA	dvAdaSaDA
viBaktaSarIra	viBaktaSarIraH
iti	iti
nEza	nEzaH
niyamaH	niyamaH
kintvaBIzwasaNKyApraviBaktaSarIraH	kintu्vaBIzwasaNKyApraviBaktaSarIraH
praBIzwa^saNKyApraviBakta	aBIzwasaNKyApraviBaktaH
ityarTaH	ityarTaH
yatra	yatra
pramARagrahaRa	pramARagrahaRaM
kftam	kftaM
tatrApi	tatrApi
samANgulaviBAge	samANgulaviBAge
kendraviBAge	kendraviBAge
ca	ca
kOSalamaByasanIyam	kOSalamaByasanIyam
SlokavyAKyA	SlokavyAKyA
SaNo	SaNkoH
pramARavarga	pramARavargaM
SaNkoritTaM	SaNkoritTaM
prapaYcitapramARasya	prapaYcatapramARasya
pramARagrahfRamaniyatapramARapratipAdanArTamityuktam	pramARagrahaRamaniyatapramARapratipAdanArTamityuktam
yadi	yadi
SaNkorniyatameva	SaNkoH^niyatameva
pramARaM	pramARaM
syAttadA	syAttadA
SaNkorvargamitIyatApyucyamAne	SaNkorvargamitiyatApyucyamAne
tanniyatapramARa	tanniyatapramARa
eva	eva
pratipattiH	pratipattiH
pramARasya	pramARasya
vargaH	vargaH
pramARavarga	pramARavargaH
tam	taM
pramARavargam	pramARavargaM
CAyAvargeRa	CAyAvargeRa
CAyAyA	CAyAyAH
vargaH	vargaH
CAyAvargaH	CAyAvargaH
tena	tena
CAyAvargeRa	CAyAvargeRa
saMyutaM	saMyutaM
kftvA	kftvA
ekIkftyetyarTaH	ekIkftya^ityarTaH
yattasya	yattasya
vargamUlaM	vargamUlaM
tasya	tasya
saMyuktasya	saMyuktasya
rASevaMrgamUlaM	rASeH^vargamUlaM
yat	yat
tat	tat
svavfttavizkammArDaM	svavfttavizkamBArDaM
Bavati	Bavati
kiM	kiM
tadvfttaM	tadvfttaM
yasyedaM	yasyedaM
vizkamBArDamityucyate	vizkamBArDamityucyate
tanmUlatulyena	tanmUlatulyena
karkawakenAliKitasya	karkawakena^AliKitasya
vfttasya	vfttasya
tadvizkamBArDam	tadvizkamBArDam
yadyevaM	yadyevaM
sarva	sarva
eva	eva
saMKyAviSezaH	saMKyAviSezaH
svavfttavizkamBADaM	svavfttavizkamBArDaM
Bavati	Bavati
nEza	nEzaH
dozaH	dozaH
yadi	yadi
sarvasaNKyAviSeza	sarvasaNKyAviSezaH
svavfttavizkamBArDa	svavfttavizkamBArDaM
Bavatyeva	Bavatyeva
ki	kiM
naSCinnam	naH^Cinnam
atra	atra
punaH	punaH
SaNkupramARacCAyAvargayogamUlaM	SaNkupramARacCAyAvargayogamUlaM
svavizkamBArDa	svavizkamBArDaM
viSizwameva	viSizwameva
parigfhyate	parigfhyate
tenAnyasya	tena^anyasya
svavfttavizkam^BArDasya	svavfttavizkamBArDasya
grahaRam	grahaRaM
nEvAtra	nEvAtra
prasajyate	prasajyate
prasakte	prasakte
ca	ca
dozaparihAro	dozaparihAraH
vA	vA
viDIyate	viDIyate
pratra	atra
ca	ca
svavfttavizkamBArDagrahRaM	svavfttavizkamBArDagrahaRaM
trErASikaprasidDayarTam–	trErASikaprasidDyarTaM
yadyasya	yadyasya
svavftavizkamBArDasya	svavfttavizkamBArDasya
ete	ete
SaNkucCAye	SaNkucCAye
tadA	tadA
golavizkamBArDasya	golavizkamBArDasya
ke	ke
iti	iti
SaNkucCAye	SaNkucCAye
laByete	laByete
tAveva	tAveva
vizuvati	vizuvati
avalambakAkzajye	avalambakAkzajye
ityucyete	ityucyete
uddeSakaHpaYcanavArDacaturTA	uddeSakaH^paYcanavArDacaturTA
CAyA	CAyA
dfzwA	dfzwA
kzitO	kzitO
samAyAM	samAyAM
tu	tu
vizuvanmaDye	vizuvanmaDye
sUrye	sUtre
SaNkodvAdaSaviBaktasya	SaNkoH^dvAdaSaviBaktasya
1	1
nyAsaH	nyAsaH
SaNkuH	SaNkuH
12	12
CAyA	CAyA
5	5
SaNkuH	SaNkuH
12	12
CAyA	CAyA
9	9
SaNkuH	SaNkuH
12	12
CAyA	CAyA
karaRam–SaNkucCAyayorvagO	karaRam^SaNkucCAyayorvargO
144	144
25	25
ekatra	ekatra
169	169
grasya	asya
mUlaM	mUlaM
svavfttavizkamBArDam	svavfttavizkamBArDam
taccedaM	taccedam
13	13
etasya	etasya
kzetrasya	kzetrasya
nyAsaH	nyAsaH
parileKa	parileKaH
36	36
svavfttavizkamBArDa	svavfttavizkamBArDaM
nAma	nAma
CAyAgrAdAraBya	CAyAgrAdAraBya
SaNkumastakaprApi	SaNkumastakaprApi
sUtram	sUtram
tatsUtrAnusAreRa	tatsUtrAnusAreRa
BUmO	BUmO
dfzwi	dfzwiM
niDAya	niDAya
SaNkumastakAsaktaM	SaNkumastakAsaktaM
vivasvantaM	vivasvantaM
paSyati	paSyati
prakzajyA$$nayane	akzajyA$$nayane
trErASikasTApanA13	trErASikasTApanA^13
5	5
3438	3438
labDamakzajyA	labDamakzajyA
1322	1322
ezA	ezA
BujA	BujA
vyAsArDa	vyAsArDaM
karRaH	karRaH
BujAkarRavargaviSezamUlamavalambakaH	BujAkarRavargaviSezamUlamavalambakaH
3174	3174
trErASikenApi	trErASikenApi
13	13
12	12
3438	2328
labDamavalambakaH	labDamavalambakaH
3174	3174
Srapare$pyatra	apare$pyatra
kzetraviSezA	kzetraviSezAH
trErASike	trErASike
vAco	vAcaH
yuktiHyadyasya	yuktiH^yadyasya
svavfttavizkamBArDasya	svavfttavizkamBArDasya
CAyAtulyA	CAyAtulyA
BujA	BujA
SaNkutulyo$valambakastadA$sya	SaNkutulyo$valambakastadAsya
golavyAsArDasya	golavyAsArDasya
kO	kO
BujAvalambAviti	BujAvalambAviti
CAyayA	CAyayA
GawikAnayane	GawikAnayane
maDyAhne	maDyAhne
CAyayA	CAyayA
ca	ca
sUryAnayane	sUryAnayane
svavfttavizkamBArDasyAyameva	svavfttavizkamBArDasyAyameva
viDiH	viDiH
kintu	kintu
CAyayA	CAyayA
GawikAnayane	GawikAnayane
SaNkunA	SaNkunA
kAryamiti	kAryamiti
SaNkurevAnIyate	SaNkurevAnIyate
samamaRqalacCAyayA	samamaRqalaCAyayA
sUryAnayane	sUryAnayane
sa	sE
eva	va
maDyAhnacCAyayA	maDyAhnacCAyayA
sUryAnayane	sUryAnayane
natajyayA	natajyayA
prayojanamiti	prayojanamiti
CAyEvAnIyate	CAyEvAnIyate
Sezayorapi	Sezayorapi
svavfttavizkamBArDe	svavfttavizkamBArDe
15	15
3	12
trErASikenEvAkzajyAvalambakO	trErASikenEvAkzajyAvalambakO
2063	2063
2750	2750
963	963
3300	3300
uddeSakaHpaYcadaSANgulaSaNko	uddeSakaH^paYcadaSANgulaSaNkoH
pAdena	pAdena
yutA	yutA
zaqaNgulA	zaqaNgulA
CAyA	CAyA
vizuvaddinamaDyAhne	vizuvaddinamaDyAhne
vAcayA$kzajyA$valambakO	vAcyA^akzajyAvalambakO
cAnna	cAtra
2	2
nyAsaHSaNkuH	nyAsaH^SaNkuH
15	15
CAyA	CAyA
prAgataM	AgataM
svavfttavizkamBArDam	svavfttavizkamBArDam
svavfttavizkamBADanAgatAvakzajyAvalambakrO	svavfttavizkamBArDenAgatAvakzajyAlambakO
1322	1322
3174	3174
uddeSakraHtriMSatpramARaSaNo	uddeSakaH^triMSatpramARaSaNkoH
zoqaSa	zoqaSa
vfzwA	dfzwA
yavA$NgulacCAyA	yadA$NgulacCAyA
maDyAtkiyadgato$koM	maDyAtkiyadgato$rko
vitatamayUKastato	vitatamayUKastato
vAcyaH	vAcyaH
3	3
nyAsaH	nyAsaH
SaNkuH	SaNkuH
30	30
CAyA	CAyA
16	16
prAgataM	AgataM
svavfttavizkamBArDaM	svavfttavizkamBArDam
34	34
labDaM	labDaM
tadakzajyA	tadakzajyA
1618	1618
14	14
pradIpacCAyAkarma	pradIpacCAyAkarma
pradIpacCAyAkarmAha	pradIpacCAyAkarmAha
SaNkuguRaM	SaNkuguRaM
SaNkuBrujAveivaraM	SaNkuBujAvivaraM
SaNkuBrujayorviSezahftam	SaNkuBujayoH^viSezahftam
yallabDaM	yallabDaM
sA	sA
CAyA	CAyA
jYeyA	jYeyA
SaNkoH	SaNkoH
svamUlAdDi	svamUlAdDi
15	15
SaNkurguRo	SaNkurguRo
yasya	yasya
tat	tat
SaNkuguRam	SaNkuguRam
kiM	kiM
tadityAh	tadityAha
SaNkuBujAvivaram	SaNkuBujAvivaram
BujASabdena	BujASabdena
pradIpocCya	pradIpocCrAyaH
ucyate	ucyate
pradIpocCu^yasya	pradIpocCrAyasya
SaNkoSca	SaNkoSca
yadantarAlaM	yadantarAlaM
tat^SaNkuBujAvivaraM	tacCaNkuBujAvivaraM
tacCaNkuguRam	tacCaNkuguRam
SaNkuBujayoviSezahftaM	SaNkuBujayorviSezahftaM
SaNko	SaNkoH
pradIpocCu^yasya	pradIpocCrAyasya
yo	yo
viSezaH	viSezaH
sa	sa
SaNkuBujayovEiSezaH	SaNkuBujayorviSezaH
tena	tena
hftaM	hftaM
Baktam	Baktam
yallabDaM	yallabDaM
sA	sA
CAyA	CAyA
SaNkostasvEva	SaNkostasyEva
svamUlAt	svamUlAt
tasyEva	tasyEva
SaNkormUlAt	SaNkormUlAt
sA	sA
CAyA	CAyA
laByate	laByate
uddeSaka—	uddeSakaH
yazwipradIpamUlAd	yazwipradIpamUlAt
dvAsaptatyucCitAdaSItyAM	dvAsaptatyucCritAdaSItyAM
ca	ca
triSatkAdviSatyAM	triMSatkAdviMSatyAM
sTitasya	sTitasya
SaNkorvada	SaNkorvada
cCAye	cCAye
1	1
yAsa	nyAsaH
parileKaH	parileKaH
37	37
SaNkuBujAvivaraM	SaNkuBujAvivaraM
80	80
etacCaNkuguRaM	etacCaNkuguRaM
960	960
BujAM	BujA
72	72
SaNkuH	SaNkuH
12	12
etayoveiSeza	etayoH^viSezaH
60	60
pranena	anena
hftaM	hftaM
SaNkuguRaM	SaNkuguRaM
SaNkuBujAvivaraM	SaNkuBujAvivaraM
labDA	labDA
CAyA	CAyA
16	16
dvitIyoddeSakanyAsa–	dvitIyoddeSakanyAsaH
parileKaH	parileKaH
38	38
pUrvakaraRenEva	pUrvakaraRenEva
labDA	labDA
CAyA	CAyA
etatkarma	etatkarma
trErASikam	trErASikam
kaTam	kaTam
SaNkuto$DikAyA	SaNkuto$DikAyAH
upariBujAyA	upariBujAyAH
yadi	yadi
SaNkuBujAntarAlapramARaM	SaNkuBujAntarAlapramARaM
CAyA	CAyA
laByate	laByate
tadA	tadA
SaNkunA	SaNkunA
keti	keti
CAyA	CAyA
laByate	laByate
viparItakarmaRA	viparItakarmaRA
uddeSaka	uddeSakaH
CAyA	CAyA
zoqaSa	zoqaSa
dfzwA	dfzwA
dvAsaptatyucCitasya	dvAsaptatyucCritasya
dIpasya	dIpasya
mUlaM	mUlaM
kiyatA	kiyatA
SaNkordvAdaSakasya	SaNkordvAdaSakasya
tvayA	tvayA
vAcyam	vAcyam
2	2
nyAsa	nyAsaH
parileKa	parileKaH
39	39
karaRam	karaRam
SaNkuBujAntareRAnena	SaNkuBujAntareRAnena
60	60
CAyA	CAyA
labDA	labDA
tena	tena
BAgaharAste	BAgaharAH^te
Bavanti	Bavanti
guRakArA'	guRakArAH
gaRita0	gaRita
28	28
iti	iti
CAyA	CAyA
16	16
guRitA	guRitA
jAtA	jAtA
960	960
etadeva	etadeva
'SaNkuguRaM	SaNkuguRaM
SaNkuBujAvivaram	SaNkuBujAvivaram
pratnApi	atrApi
SaNkurguRakAra	SaNkuH^guRakAraH
prAsIditi	AsIditi
guRakArA	guRakArA
BAgaharA	BAgaharA
gaRita0	gaRita
28	28
iti	iti
SaNkunA	SaNkunA
12	12
hftaM	hftaM
SaNkuBujAvivaraM	SaNkuBujAvivaraM
labDam	labDam
tacca	tacca
80°	80
uddeSaka	uddeSakaH
yazwipradIpamUlAt	yazwipradIpamUlAt
paYcASadvivarasaMsTitaH	paYcASadvivarasaMsTitaH
SaNkuH	SaNkuH
tasya	tasya
caCAyA	cCAyA
paNktirvAcyastasminkiyAn	paNktirvAcyastasmin^kiyAn
dvIpa	dIpaH
3	3
parileKaH	parileKaH
40	40
karaRam	karaRam
SaNkuguRA	SaNkuguRA
kowI	kowI
sA	sA
CAyABaktA	CAyABaktA
BujA	BujA
Bavati	Bavati
gaRita0	gaRita
16	16
iti	iti
vakzyamARakaraRena	vakzyamARakaraRena
SaNkuBujAvivarayuktacCAyA	SaNkuBujAvivarayuktacCAyA
kowirBavatIti	kowiH^BavatIti
SaNkuBujAvivaraM	SaNkuBujAvivaraM
50	50
CAyA	CAyA
10	10
ekatra	ekatra
60	60
etacCaNkuguRaM	etacCaNkuguRaM
720	720
CAyABakta	CAyABaktaM
BujASramARam	BujApramARaM
72	72
15	15
SaNkucCAyAdvayena	SaNkucCAyAdvayena
dIpocCuAyApasArajYAnam	dIpocCrAyApasArajYAnam
anijYAtadIpocCAyAvasAnayoH	anirjYAtadIpocCrAyAvasAnayoH
SaNkucCAyAdvayenAnayanamAha	SaNkucCAyAdvayenAnayanamAha
CAyAguRitaM	CAyAguRitaM
CAyAgravivaramUnena	CAyAgravivaramUnena
BAjitaM	BAjitaM
kowI	kowI
SaNkuguRA	SaNkuguRA
kIwI	kowI
sA	sA
CAyABaktA	CAyABaktA
BujA	BujA
Bavati	Bavati
16	13
CAyAguRitaM	CAyAguRitaM
CAyayA	CAyayA
guRitam	guRitam
kiM	kiM
CAyAguRitam	CAyAguRitam
CAyAgravivaraM	CAyAgravivaraM
CAyAgrayoveivaraM	CAyAgrayoH^vivaraM
CAyAgravivaraM	CAyAgravivaraM
CAyAgrAntarAlaBUmirityarTaH	CAyAgrAntarAlaBUmiH^ityarTaH
tadyaTA	tadyaTA
SranijYatiocCrAyayazwipradIpAtkiyadapyapasftya	anirjYAtocCrAyayazwipradIpAtkiyadapyapasftya
SaNkuH	SaNkuH
sTApitaH	sTApitaH
tasya	tasya
CAyA	CAyA
jYAyata	jYAyata
eva	eva
tacCAyAgrAtparigaRite$ntare	tacCAyAgrAt^parigaRite$ntare
dvitIyaSaNkuH	dvitIyaSaNkuH
tacCAyAgrAtpUrvaSaNkucCAyAgramityantaraM	tacCAyAgrAt^pUrvaSaNkucCAyAgramityantaraM
CAyAgravivaram	CAyAgravivaram
tadizwayA	tadizwayA
praTamacCAyayA	praTamacCAyayA
dvitIyacCAyayA	dvitIyacCAyayA
vA	vA
guRitam	guRitam
Unena	Unena
BAjitam	BAjitam
UnaM	UnaM
CAyayorviSezaH	CAyayorviSezaH
tena	tena
Unena	Unena
BAjitam	BAjitam
kowI	kowI
avasAnaBUmi	avasAnaBUmiH
tadyadi	tadyadi
praTamacCAyayA	praTamacCAyayA
guRitaM	guRitaM
tadA	tadA
praTamacCAyAgrayazwipradIpAntarAlaM	praTamacCAyAgrayazwipradIpAntarAlaM
Bavati	Bavati
dvitIyayA	dvitIyayA
CAyayA	CAyayA
yadi	yadi
tadagrayazwipradIpAntarAlam	tadagrayazwipradIpAntarAlam
SaNkuguRA	SaNkuguRA
kowI	kowI
SaNkurguRo	SaNkuH^guRaH
yasyAH	yasyAH
seyaM	seyaM
SaNkuguRA	SaNkuguRA
kowI	kowI
CAyABaktA	CAyABaktA
BujA	BujA
Bavati	Bavati
BujA	BujA
yazwipradIpocCAyaH	yazwipradIpocCrAyaH
CAyAdvayamapi	CAyAdvayamapi
tatkowiByAM	tatkowiByAM
prasADyate	prasADyate
uddeSaka	uddeSakaH
SaNkossamayoIzwe	SaNkossamayordfzwe
kramaSo	kramaSaH
daSazoqaSANgule	daSazoqaSANgule
CAye	CAye
agrAntaraM	agrAntaraM
ca	ca
dfzwaM	dfzwaM
triSat	triMSat
kowIBuje	kowIBuje
vAcye	vAcye
1	1
myAsa	nyAsaH
parileKaH	parileKaH
41	41
karaRam'–	karaRam
CAyAgravivaraM	CAyAgravivaram
30	30
etatpraTamacCAyAguRitaM	etat^praTamacCAyAguRitam
300	300
CAyayorviSezaH	CAyayoH^viSezaH
6	6
anena	anena
labDaM	labDam
kowI	kowI
50	50
iyameva	iyam^eva
kowI	kowI
SaNkuguRA	SaNkuguRA
jAtA	jAtA
600	600
CAyABaktA	CAyABaktA
BujA	BujA
60	60
dvitIyacCAyAto$pi	dvitIyacCAyAtaH^api
kowI	kowI
80	80
BujA	BujA
sEva	sA^eva
60	60
uddeSaka	uddeSakaH
paYca	paYca
sapta	sapta
kramAcCAye	kramAt^CAye
narayostulyayoH	narayoH^tulyayoH
smfte	smfte
azwAvaprAntaraM	azwO^agrAntaram
dfzwaM	dfzwam
BujakowI	BujakowI
tadocyatAm	tadA^ucyatAm
2	2
nyAsa	nyAsaH
parileKa	parileKaH
42	42
pUrvavallabDA	pUrvavallabDA
kowI	kowI
20	20
BujA	BujA
48	48
dvitIyacCAyAto$pi	dvitIyacCAyAto$pi
kowI	kowI
28	28
BujA	BujA
sEva	sEva
48	48
vizuvadahfni	vizuvadahani
gaganatalamaDyavatini	gaganatala^maDya^vartini
savitari	savitari
samadakziRottaradeSacCAyAgrAntarAlayojanE	samadakziRottaradeSacCAyAgrAntarAlayojanEH
CAyAviSezeRa	CAyAviSezeRa
SaNkunA	SaNkunA
ca	ca
kecit	kecit
vivasvadavanitalAntarAlayojanAnyAnayanti	vivasvadavanitalAntarAlayojanAni^Anayanti
tadayuktam	tadayuktam
pratra	atra
pradIpacCAyAdvayakamaliApAvatAro$pi	pradIpacCAyAdvayakarmAlApAvatAro$pi
nopapadyate	nopapadyate
kutaH	kutaH
yasmAdAh	yasmAdAha
'BUravivivaraM	BUravivivaraM
viBajed	viBajet
gola0	gola
39	39
iti	iti
BUH	BUH
SaNkuH	SaNkuH
raviyojanakarRaH	raviyojanakarRaH
SaNkuBujAvivaraM	SaNkuBujAvivaraM
sakalajagadekapradIpo	sakalajagadekapradIpo
BagavAn	BagavAn
BAskaraH	BAskaraH
svayameva	svayameva
pradIpocCrAya	pradIpocCrAyaH
ityato	ityato
vivasvadavanitalAntarAlayojanAnayanaM	vivasvadavanitalAntarAlayojanAnayanaM
na	na
Gawate	Gawate
'BUravivivaramiti	BUravivivaramiti
sidDAnAmeva	sidDAnAmeva
yojanAnAmupadeSAt	yojanAnAM^upadeSAt
aTa	aTa
savitEva	savitEva
pradIpocCAya	pradIpocCrAyaH
iti	iti
savitfvizkamBapramARamAnIyata	savitfvizkamBapramARamAnIyate
iti	iti
ceta	cet
tacca	tacca
na	na
yasmAt	yasmAt
svakakzyAkarRaBUvivarayojano	svakakzyAkarRaBUvivarayojano
gagana^talamaDyAsIno	gaganatalamaDyAsInaH
lokAn	lokAn
dyotayeMllakzyate	dyotayallakzyate
tasmAtpradIpocCAya	tasmAt^pradIpocCrAyaH
svayaM	svayaM
savitA	savitA
na	na
Bavitumarhati	Bavitumarhati
praTa	aTa
vivasvAn	vivasvAn
pradIpocCuAyaH	pradIpocCrAyaH
