sUlamiti	mUlamiti
saMskvata	saMskftaH
spazwa	spazwa
evaM	evaM
Bavati	Bavati
gaganagAmO	gaganagAmO
7SOGracakrAvaSezAt	7SIGracakrAvaSezAt
vihagaBagaRaSezaM	vihagaBagaRaSezaM
projJaya	projJya
SeGra	SEGraM
ca	ca
8	8
kuryA^dinaPalacaraKaRqADvAntaraM	kuryAdinaPalacaraKaRqaDvAntaraM
pUrvavacca	pUrvavacca
57	50
brahmaraSuptamaRqalaSezAt	brahmaguptaHmaRqalaSezAt
KIcaM	svoccaM
viSoDya	viSoDya
sawwayaM	sadfSaM
catura^RAklabDam	caturguRAllabDam
kendrapadAni	kendrapadAni
jinaraguRAtU	jinaguRAt
jOvA	jIvA
gatayeyagataryaye	gatayeyagatayeyEH
kedacaturTebOddIryayagatAgatagatEstaTA	CedacaturTerbAhoryeyagatAgatagatEstaTA
kIwi	kowiH
prAgvadinenduBujaPalaM	prAgvadinenduBujaPalaM
mandaPalaM	mandaPalaM
BUsutAdInAm	BUsUtAdInAm
PalacApakalASuRite	PalacApakalAguRite
Cede	Cede
maRqa़tla^kalAdyute	maRqalakalAhfte
labDam	labDama
maKNalaSeze	maRqalaSeze
pUrvavawwaRaDanamasmAd	pUrvavadfRaDanamasmAd
graha	grahaH
spazwa	spazwaH
3	3
mU	mU
pustake1dyavaraBagaRIkenntdarti	pustake1^dyuvaraBagaRaSezeH
2	2
SezAt	SezAt
tadapi	tadapi
jinaviniGna	jinaviniGnaM
3	3
pUrvavattam	pUrvavattam
3	
4	4
maTaBukti	maTaBuktiM
5	5
duktavacakrameRa	duktavaccakrameRa
6	6
mfdulacala	mfdulacala
7	7
gOIGravat	SIGravat
kAlIzam	kAlaSezam
8	8
dinacaraPalaKaRqa़Ada	dinacaraPalaKaRqAd
vAntarga	vAntaraM
SrA	A
pustake	pustake
ca	ca
kuryAddinaPala	kuryAddinaPala
iti	iti
pAWa	pAWaH
sPuwADyAyaH	sPuwADyAyaH
、にさ	189
ayamarTaaNGargaRamizwagriBagaReItvABUditEIuBagraRA	ayamarTaHahargaRamizwagrahaBagaRErhatvA^BUdinErharet^BagaRA
laByante	laByante
terii	tEriha
prayojanaM	prayojanaM
nAsti	nAsti
yacCrezaM	yacCezaM
tad	tad
dadyacaraBagaRaSezaM	dyucaraBagaRaSezaM
tasmAt	tasmAt
pratirAShritAt	pratirASihatAt
svasvatuNga^prasrutaM	svasvatuMNgaprasUtaM
sadfgBagaRaSezaMKIcvayugaBagaRErachrargaRaM	sPuwaSaBagaRaSezaM^svoccayugaBagaRErahargaRaM
hftvA	hatvA
kudinErfret	kudinErharet
labDA	labDA
BagaRAstyAjyAH	BagaRAstyAjyAH
SizwaM	SizwaM
BagaRSezaM	BagaRaSezaM
projJaya	projJya
chitvA	hitvA
SizwaM	SizwaM
Kakendrasya	svakendrasya
BagaRSezaM	BagaRaSezaM
Bavati	Bavati
tasmin	tasmin
Seze	Seze
yuganne	yugaGne
caturBirhate	caturBirhate
citidinaviBanne	kzitidinaviBakte
padAptirlabDAni	padAptirlabDAni
kendrasya	kendrasya
Buka़Ani	BuktAni
pawAni	padAni
tazAmApti	tezAmAptiH
syAt	syAt
punarapi	punarapi
Sreza	Seze
padAtiranantaraM	padApteranantaraM
Sizwa	Sizwe
jinaniGna	jinaniGne
ErviMSati	rviMSati
24	24
guRe	guRe
tritidivasaviBallo	kzitidivasaviBakte
lavDANkasamA	labDANkasamA
BujarjIvA	BujajIvA
Bavati	Bavati
SezAYca	SezAcca
•	gamyajyAntaraguRAt
kudinEreva	kudinEreva
yallabDaM	yallabDaM
tat	tat
pUrvasyApiteyojayet	pUrvasTApite
sPuwA	sPuwA
Bavati	Bavati
hnataHpraTamakendrapade	praTamakendre
SezaM	SezaM
kudineByo	kudineByo
viSoDya	viSoDya
SezaM	SezaM
jina	jina
24	24
guRaM	guRaM
BUdine^Iret	BUdinErharet
ryAtUharumA	yallabDaM^samA
kowabyA	kowijyA
SezASca	SezAcca
gatagasyajyAntaranhftAt	gatagamyajyAntarahatAt
BUdine^Irit	BUdinErharet
yajYabDaM	yallabDaM
jyArDe	jyArDe
yojayet	yojayet
kowijyA	kowijyA
sPuwA	sPuwA
syAt	syAt
iti	iti
yAtE	yAtEH
praTama	praTame
kendrapade	kendrapade
bAquKyA	bAhujyA
yeyE	yeyEH
kowijyA	kowijyA
Bavati	Bavati
dditOye	dvitIye
kendrapade	kendrapade
Srato$nyaTA	ato$nyaTA
kowijIvA	kowijIvA
yAtEH	yAtEH
tadUnaSezAdyeyErbAqujyA	tadUnaSezAdyeyErbAhujyA
QatOye	tftIye
pade	pade
itEryAtErbAhujyA	itEryAtErbAhujyA
vayE	yeyEH
kowijyA	kowijyA
caturTe	caturTe
pade	pade
yAte	yAtEH
kowijyA	kowijyA
yeyebIqujyA	yeyErbAhujyA
iti	iti
jyAnayana	jyAnayana
evopAyAntaramAhirajalaDilavErveti	evopAyantaramAhaharajalaDilavErveti
ayamarTaH–1	ayamarTaH^1
graqBagaRaSezAt	grahaBagaRaSezAt
KIcaBagaRaSezaM	svoccaBagaRaSezaM
tyaktA	tyaktvA
SizwaM	SizwaM
kendraBagaRaSezaM	kendraBagaReSezaM
Bavati	Bavati
tasmAt	tasmAt
BUwwina^tuKyasya	BUdinatulyasya
irasya	harasya
ye	ye
jalaDilavAccaturTaBAgAstErBAgehra^taM	jalaDilavAScaturTaBAgAstErBAgErhfte
Seze	Seze
kendrapadAnAmavaSezaM	kendrapadAnAmavaSezaM
tatpadasya	tatpadasya
ButaM	BuktaM
Bavati	Bavati
taNgadinacaturTaBAgatulyAt	tadBUdinacaturTaBAgatulyAt
KacCedAddiSoDya	svacCedAdviSoDya
SezaM	SezaM
padasya	padasya
yeyamagataM	yeyamagataM
Bavati	Bavati
tAByAM	tAByAM
gatAgatAByAM	gatAgatAByAM
prAgvat	prAgvat
Bujakowijye	Bujakowijye
yaTAprApta	yaTAprApte
kArye	kArye
tAByAM	tAByAM
BujakIwijyAByAM	BujakowijyAByAM
sPuwapariDinA	sPuwapariDinA
ca	ca
pUrvavaddI	pUrvavaddoH
PalaM	PalaM
mAndaM	mAndaM
SEGraM	SEGraM
vA	vA
kAryam	kAryam
taddfIPalaM	taddoHPalaM
punIraguRaM	punarharaguRaM
BUdinana	BUdinena
tacaturToSena	taccaturTAMSena
vA	vA
guRitaM	guRitaM
kalvA	kftvA
cakraliptABirBaktamAptaH	cakraliptABirBaktamAptaM
2	2
cakraSeze	cakraSeze
pratirASrite	pratirASite
uktavat	uktavat
padavaSena	padavaSena
DanaYCRaM	DanamfRaM
vA	vA
kuryAt	kuryAt
evaM	evaM
sfducala	mfducala
س1	1
SrA	A
pustakegrahfRaBagaRa	pustakegrahaRaBagaRa
iti	iti
vartate	varttate
2	2
SrA	A
pustake	pustake
mApta	mAptaM
ca	ca
kuReze	kuSeze
iti	iti
vartate	varttate
SrasyIpapasiMrakANgaMruciraRAnAM	asyopapattirasmadgurucaraRAnAM
suDAkaraddivedinAm	suDAkaradvivedinAm
BagaRaSezAdevacaM^Ra	BagaRaSezAdevAcAryeRa
kendra^wkiM	kendrAdikaM
sAvitam	sADitam
tata	tat
ekasmin	ekasmin
BagaRe	BagaRe
catvAri	catvAri
padAni	padAni
tadA	tadA
BagaRaSeze	BagaRaSeze
kimiti	kimiti
padAni	padAni
Rvamekasmin	evamekasmin
pade	pade
5400	5400
kalAstadA	kalAstadA
gate	gate
va	vA
gagye	gamye
pade	pade
kiM	kiM
labDA	labDA
gatagamyakalAstatvASvidratA	gatagamyakalAstatvASvihftA
jyAmaMKyAflFL	jyAsaMKyA
tato	tato
jyAdOnamA^nayanaM	jyAdInAmAnayanaM
sugamam	sugamam
1éL0	1
sidDAntareraDure	sidDAntaSeKare
PalAByAM	PalAByAM
mandarSOGraPalAByAMsaMskatIgaganagAmO	mandaSIGraPalAByAM^saMskfto^gaganagAmI
sPa़wa	sPuwa
evAirgaRAdAgacCatOti	evAhargaRAdAgacCatIti
SOGraPalAnayane	SIGraPalAnayane
viSezamAiSIGracakrAvaSezAditiSIGraPalAnayane	viSezamAhaSIGracakrAvaSezAditiSIDraPalAnayane
kriyamARe	kriyamARe
izwayahnaBagaRaSezaM	izwagrahaBagaRaSezaM
SIGrIcaBagaRaSezAdyAsya	SIGroccaBagaRaSezAdapAsya
SEGra	SEGraM
ca	ca
sPwaM	sPuwaM
kuryAt	kuryAt
taTA	taTA
sMSrakArAntaraM	saMskArAntaraM
maRqalaSeza	maRqalaSeza
eva	eva
kAryamityAhinaPaleti	kAryamityAhinaPaleti
inaPalamarkadIrvivaraPalaM	inaPalamarkadorvivaraPalaM
caraKaRqaM	caraKaRqaM
caradalaPalamaDvAntaraM	caradalaPalAntaraM
deSAntaraPalaM	deSAntaraPalaM
etacca	etacca
sarve	sarvaM
pUrvavanmaRqalaSeza	pUrvavanmaRqalaSeza
eva	eva
kAryamiti	kAryamiti
میچخ	ayaM
caray^yayam7HravicanwagnayanayaSnaM	prayogaHravicandrAnayanapraSne
kartakA	kfte
muYjajLarwvaNgavalU	BujajyAmuktavat
kalkaM	kftvA
taccApakalAdiBirBUdinAniitvAKaKazaqaGane	taccApakalAdiBirBUdinAni^hatvA^KaKazaqGanE
21600	21600
hftvA	hftvA
labDaM	labDaM
Dana	DanarRaM
vA	vA
prAgvat	prAgvat
maRqalaSeze	maRqalaSeze
CatvA	kftvA
tato	tato
deSAntaralabDaM	deSAntaralabDaM
ca	ca
BUdinANgataM	BUdinAhataM
cakravAta	cakravA
21600	21600
Iret	rharet
tato	tato
yallabDaM	yallabDaM
tadyaTAprApta	tadyaTAprAptaM
sPuwamaRqalaSezeH	sPuwamaRqalaSezeH
taTA$rkaBujAPalacaradale	taTA$rkaBujAPalacaradale
ca	ca
pratyekaM	pratyekaM
BUdinahataM	BUdinahate
kvatvA	kftvA
cakraliptABirharet	cakraliptABirharet
bDe	labDe
Pale	Pale
maRqalaSeza	maRqalaSeza
eva	eva
kkalvA	kftvA
dvAdaSAdiguRakArErakaMKandro	dvAdaSAdiguRakArErarkaScandro
vA	vA
rASyAdika	rASyAdikaH
sPa^wa	sPuwa
evAgacCati	evAgacCati
praya	aTa
BOmAnayanam	BOmAnayanam
BOmamaRqalaSeza	BOmamaRqalaSezaM
SIGramaRqalaSezAdviSIDya	SIGramaRqalaSezAdviSoDya
BOmInitE	BOmAnite
dinakara	dinakara
ityAdinDAyana	ityAdinyAyena
manwmaRqalaNezaSIGrapariDyI	mandamaRqalaSezaSIGrapariDyoH
saMskAraH	saMskAraH
kArDE	kAryaH
tata	tataH
tanmandIYcamaRqalaSerza	tanmandoccamaRqalaSezaM
BOmamaRqalaSEMzAdapAsyArkavanamandaPalamAnayet	BOmamaRqalaSezAdapAsyArakavanmandaPalamAnayet
KapariDinA	svapariDinA
tadrDitaM	tadarDitaM
BagaRaSIza$nazwaKyApita	BagaRaSeze$nazwasTApite
DanaswaRaM	DanamfRa
vA	vA
klvA	kftvA
tatastacCrIGnIcaBagaRaSzAt	tatastacCIGroccaBagaRaSezAt
yakA	tyaktvA
prAgvacCIGraPalacApArDamevaM	prAgvacCIGraPalacApArDamevaM
kta	kfte
BOmamaRqalaSza	BOmamaRqalaSeze
DanaBraRaM	DanamfRaM
vA	vA
klvA	kftvA
tasmAt	tasmAt
sPuwamaRqalaBagaRaSezeRoptAvanmAndaPalaM	sPuwamaRqalaBagaRaSezeRoktavanmAndaPalaM
tatsadfSOkkataM	tatsadfSIkftaM
sakalamevAvikkataM	sakalamevAvikfte
grahaBagaRaSreza	grahaBagaRaSeze
DanarRa	DanarRaM
kalvA	kftvA
tena	tIna
SIGraPalaM	SIGraPalaM
praTamavat	praTamavat
tadapi	tadapi
sakalameva	sakalameva
madfSyaM	sadfSaM
manwsPuwaM	mandasPuwe
BOmaBagaRaSaze	BOmaBagaRaSeze
DanamfRaM	DanamfRaM
vA	vA
CAtvA	kftvA
tatreva	tatrEva
BujAntaracaradaladeSAntaraPalaM	BujAntaracaradaladeSAntaraPalaM
sawwaRameva	sadfSameva
yA	yaTA
taqanaswaRaM	tadDanamfRaM
vA	vA
kalvA	kftvA
tasmAt	tasmAt
ddAdaRAdiBi1rguRakArE	dvAdaSAdiBi1rguRakArEH
rASyAdika	rASyAdikaH
sPuwaBomI	sPuwaBOmo
paTa	aTa
PalaM^kalAyakrakalAItA	PalakalAScakrakalAhftA
jAtA	jAtA
BagaRAtmikA	BagaRAtmikAH
PalakalA	PalakalAH
cakaM	evaM
grahriBagaRaSeze	grahaBagaRaSeze
saMskArayogya	saMskArayogya
samacCedaM	samacCedaM
BagaRAtmakaM	BagaRAtmakaM
PalaM	PalaM
jAtamiti	jAtamiti
Nezopapatti	SezopapattiH
sagamA	sugamA
1	1
SrA	A
pastakediBirgaRakArE	pustake^diBirgaRakArEH
iti	iti
va^sEte	varttate
sPuwADyAyaH	sPuwADyAyaH
1L1	191
Bavati	Bavati
evaM	evaM
SukrasyApi	SukrasyApi
KaDiyA	svaDiyA
yojyam	yojyam
SezARAM	SEzARAM
maDyamAnayanaM	maDyamAnayanaM
karmaddayenaM	karmadvayena
deSAntarAdiPalena	deSAntarAdiPalena
saMskAro	saMskAro
maRqalaSeze	maRqalaSeze
kArya	kAryaH
tasmAt	tasmAt
sPuwagrI	sPuwagraho
Bavati	Bavati
atra	atra
vAsanA	vAsanA
syawEva	spazwEva
yaTA	yaTA
maDyagrahAnmandIcaM	maDyagrahAnmandocca
viSoDya	viSoDya
kendra	kendraM
kriyate	kriyate
evaM	evaM
grahaBagaRaSezAt	grahaBagaRaSezAt
KIcaBagaRaSezaM	svoccaBagaRaSezaM
tyaktvA	tyaktvA
SizwaM	SizwaM
kendrasambanDi	kendrasambanDi
BagaRaSezaM	BagaRaSezaM
Bavati	Bavati
evaM	evaM
SIGvakarmaRIti	SIGrakarmaRIti
tasmAt	tasmAt
BUdinacaturTASana	BUdinacaturTAMSena
kendrapadAnypapadyanta	kendrapadAnyupadyanta
eva	eva
yadA	yadA
BUdinatulyena	BUdinatulyena
BagaRaSezeRa	BagaRaSezeRa
BagaRI	BagaRo
laByate	laByate
tadA	tadA
padAccaturviMSenAMSena	padAccaturviSenAMSena
jyAntaramekEkasupapadyate	jyAntaramekEkamupapadyate
tatra	tatra
vizamapade	vizamapade
gatAgatAByAM	gatAgatAByAM
bAhukowijye	bAhukowijye
sama	same
anyaTeti	anyaTeti
etat	etat
cApagatatrErASikena	cApagatatrErASikena
sadfSIkriyate	sadfSIkriyate
kaTaMyadi	kaTaMyadi
cakraliptA	cakraliptA
21600	21600
tulyABi	tulyABiH
BUdinatuKyaM	BUdinatulyaM
BagaRaSrezaM	BagaRaSezaM
laByata	laByate
taraPalaliptABi	tatPalaliptABiH
kiyaditi	kiyaditi
labDaM	labDaM
BagagSezasya	BagaRaSezasya
sadfSaM	sadfSaM
syAnnAndaM	syAnmAndaM
SEGraM	SEGraM
ca	ca
deSAntarAdiPalAnayanaM	deSAntarAdiPalAnayanaM
sarvezAmeva	sarvezAmeva
yujyate	yujyate
tasmAt	tasmAt
sPuwaBagaRaSezAdyo	sPuwaBagaRaSezAdyo
gri	graha
SrAnOyate	AnIyate
sa	sa
sPuwa	sPuwa
eva	eva
BavatIti	BavatIti
sarvamupapatnam	sarvamupapannam
5557	5557
aDunA	aDunA
vakrAdinnAnAya	vakrAdijYAnAya
vasantatilakAmAi^rAma1suMBUBi	vasantatilakAmAharAma1rttuBUmi
163	163
rizuvEdkuBi	rizuvedakuBiH
145	145
SrIrvE125	SarArkE125
2vakrapravfttiravanOtanayAdikAnAM	2vakrapravfttiravanItanayAdikAnAM
cakracyutE	cakracyutEH
3	3
punaramOBiravakracAra	punaramIBiravakracAraH
58	58
rAma4rttuBUBi	rAma4rttuBUmiH
paYcaBi	paYcaBiH
rASiBiH	rASiBiH
trayIdfSBAgEScalakendraBAgEaviSezakarmaRi	trayodaSaBAgEScalakendraBAgEHaviSezakarmaRi
zazWIyacCIGrakendra	zazWIyacCIGrakendraM
tasya	tasya
BAgEBaॉmasya	BAgErBOmasya
vakrapravfttiH	vakrapravfttiH
yadA	yadA
karmatrayasidDaM	karmatrayasidDaM
brahmaraRuna^agrayazwiBi	brahmaguptaHagnyazwiBi
1^3	163
rizumanuBi	rizumanuBiH
145	145
Sra^sUrye	SarasUryEH
1^24	124
rizurasenduBi	rizurasenduBi
5	165
striBavE	striBavEH
113	113
SEOGrAnyakendraBAgEBOMmAdOnAM	SIGrAntyakendraBAgErBOmAdInAM
Bavati	Bavati
vakram	vakram
1	1
cakrAMgkE	cakrAMSakEH
350	360
stadUnEranuvakraM	stadUnEranuvakraM
tadaDikInaBAgakalA	tadaDikonaBAgakalA
mandaPalasPawaBuktUyanaSEGraBuktayA	mandaPalasPuwaBuktyUnaSIGraBuktyA
kqa़्ta	hftA
divasA	divasAH
SratroktA	atroktA
eva	eva
vakrakendrAMSA	vakrakendrAMSa
lallAcAryeRa	lallAcAryeRa
SrOpatinA	SrapitinA
BAskarAcAryeRa	BAskarAcAryeRa
ca	ca
gwahOtA	gfhItA
1	1
rAmartuBUmi	rAmarttuBUmi
dfti	iti
mU	sU
pAWa	pAWaH
rArma	rAmaM
tu	tu
BUBi	BUBi
dfti	iti
SrA	A
pAWa	pAWaH
2	2
cakrapraSvatirava	cakrapravfttirava
dvati	iti
mU	mU
pAWa	pAWaH
vakrapradvattirapanOta	vakrapravfttirapanIta
dfti	iti
SrA	A
pAWa	pAWaH
3	3
punaraBivakracAra	punaraBivakracAraH
iti	iti
mU	mU
pAWa	pAWaH
4	4
SrA	A
pustakerAmaM	pustakerAmaM
tu	tu
BUBi	BUmi
iti	iti
vartate	varttate
sidDAntaSeKare	sidDAntaSeKare
sPuwamaDyamaM	sPuwamaDyamaM
SIGnIcAt	SIGroccAt
tyakA	tyaktvA
SizwAH	SizwAH
paYcarASyaKayodaSaBAgASca	paYcarASayasatrayodaSaBAgASca
513	513
Bavanti	Bavanti
tadA	tadA
BOmasya	BImasya
vakrAramBa	vakrAramBa
ityarTaH	ityarTaH
taTA	taTA
izuvadakuBi	izuvedakuBiH
paYcAbDOnduBiH	paYcAbDInduBiH
145	145
buDasya	buDasya
SrArkeH	SarArkEH
paYcAgKicandraH	paYcASvicandrEH
125	125
guro	guroH
bARAzwiBiH	bARAzwiBiH
paYcazazwyttaraStena	paYcazazwyuttaraSatena
165	165
Sukrasya	Sukrasya
guRaSivE	guRaSivEH
trayodaSottara	trayodaSottara
1	1
Satena	Satena
113	113
mandasya	mandasya
vakrapravfttiriti	vakrapravfttiriti
sarvatra	sarvatra
sambanDaH	sambanDaH
cakrayutErmaRqalaSunEramIBi2KalaBAgEravakracAra	cakracyutErmaRqalaSudDEramIBi2^ScalaBAgEravavakracAraH
na	na
vaktaM	vakraM
BavatItyarTaH	BavatItyarTaH
3	3
yatra	yatra
dine	dine
BrantyaSIGrerkendraM	antyaSIGrakendraM
vakrakendrasamaM	vakrakendrasamaM
Bavati	Bavati
tatra	tatra
dine	dine
grahasya	grahasya
vakraM	vakraM
yatra	yatra
4	4
dina$nuvakrakendrasamaM	dine$nuvakrakendrasamaM
Bavati	Bavati
tatrAnuvakramiti	tatrAnuvakramiti
yAvat	yAvat
atra	atra
vAsanA	vAsanA
BUmaDyAcCIGranIcoccadvattamaDyaM	BUmaDyAcCIGranIcoccavfttamaDyaM
yAvadUrDvakowiH	yAvadUrDvakowiH
paramaPalajyAtulyaM	paramapAlajyAtulyaM
SIGranIcoccadvattamaDyAt	SIGranIcoccavfttamaDyAt
vyAsArDa	vyAsArDa
BujApUrveRa	BujApUrveRa
vA	vA
tayorvargayutimUlaM	tayorvargayutimUlaM
tiryak	tiryak
karRaH	karRaH
paramaPalajyAgrAqUmaDyaM	paramaPalajyAgrAdBUmaDyaM
yAvattatastaM	yAvattatastaM
SIGranOcoccaqattaKaRqakaM	SIGranIcoccavfttaKaRqakaM
pravizWaM	pravizwaM
tAvanto	tAvanto
BAgA	BAgA
dviguRA	dviguRA
vakraBAgA	vakraBAgAH
yatI	yato
BUsyasya	BUsTasya
duzwastAvatsu	druzwustAvatsu
BAgEzu	BAgezu
sUryo	sUryo
Bavati	Bavati
graNga	grahaM
cAnulomyena	cAnulomyena
SIGranIcoccaWWatamutpAdayet	SIGranIcoccavfttamutpAdayet
BcamaRapratimaRqalapariDO	BramaRapratimaRqalapariDO
sa	sa
ca	ca
drazwuH	drazwuH
pradeSe	pradeSe
paYcAdgacCatrupalaByate	paScAdgacCannupalaByate
sarvamidaM	sarvamidaM
gole	gole
krudyake	Cedyake
vA	vA
pradarSayet	pradarSayet
58	58
idAnoM	idAnIM
prakArAntareRa	prakArAntareRa
vakrAnuvaMkrajYAnaM	vakrAnuvakrajYAnaM
sragDarAdvatena	sragDarAvfttena
darSayati^SOGroccAt	darSayatiSIGroccAt
5syazwamaDyagrahavivaradalaM	5syazwamaDyagrahavivaradalaM
maDyame	maDyame
SoDyasUna	SoDyamUne
6	9
deyaM	deyaM
syazwAdanUne	spazwAdanUne
sPuwaKacaramaTa	sPuwaKacaramaTa
projJA	projJya
tacAvaSeze	tatrAvaSeze
vakraM	vakraM
7	7
viNGAbDi	vidDAbDi
4	4
rASizyaTa	rASizyaTa
kawatuzu6mahAvakramazwAsu	ftuzu^6^mahAvakramazwAsu
8	8
vakra8tyAgaM	vakra8tyAgaM
kzendradyuBuktayA9	kendradyuBuktyA^9
punarapi	punarapi
haraRe	haraRe
yAtayeyAnyahAni	yAtayeyAnyahAni
56	59
1caragatena	1^ttaragatena
2	2
SramOBiyakraBAgE	amIBiScakraBAgEH
3	3
Sraca	atra
dine	dine^
4	4
dinena	dinene
vakrakaMndra—	vakrakendra
brahmaguBaSOGrAt	brahmaguptaHSIGrAt
sPa़wagrahInAcCeze	sPuwagrahonAkzepe
maDyasPawAntarArDa	maDyasPuwAntarArDaM
vA	vA
SratDake	aDike
DanamfRamUne	DanamfRamUne
sPawagrahAnmaDyame	sPuwagrahAnmaDyame
cApi	cApi
rASizu	rASizu
caturzu	caturzu
vakraM	vakraM
zawaKativakramanuvakramaM^wAsu	zawasvativakramanuvakramazwAsu
SraprAptAtOtakalA	aprAptAtItakalA
BukyAsyavoqutA	ButtyAsyEvodDatA
divasA	divasAH
iti	iti
laklaSvamaDyasmawAntaradalaMna	maDyasPuwAntaradalena
caKAt	calAt
sametAnmaDye	sametAnmaDye
sPwAt	sPuwAt
samaDike	samaDike
sati	sati
cAnyaTInAt	cAnyaTonAt
spazwaM	spazwaM
tyajet	tyajet
ktazaqGwasu	kftazaड़zwasu
taca	tatra
Bezu	Bezu
vakrAtivakrakuwilA	vakrAtivakrakuwilA
gatayo	gatayo
Bavanti	Bavanti
etaTIranurupa	etayoranurUpa
evAyaM	evAyaM
Opate	SrIpatI
plOka	SlokaH
5	5
mU	mU
pustake	pustake
vatrmamaDya	vartmamaDya
6	6
deyA	deyA
spazwA	spazwA
7	7
vinyADi	vinDyAbDi
8	8
vakra	vakraM
tyA^gaM	tyAgaM
9	9
punarapiraRe	punarapaharaRe
iti	iti
pAWa	pAWaH
sPuwADyAyaH	sPuAwADyAyaH
한으	193
SIGroYcAt	SIGroccAt
sPuwIBUtAdizwaM	sPuwIBUtAdizwaM
KecaraM	KecaraM
projJaya	projJya
tatra	tatra
Seze	Seze
spazwa^maDyagrahavivaradalaM	spazwamaDyagrahavivaradalaM
syazwasya	spazwasya
sPuwasya	sPuwasya
1	1
mandasya	mandasya
mandaPalasPa^wasayahasyayaddivaraM	mandaPalasPuwagrahasya^yadvivaraM
tasyArDa	tasyArDaM
spazwAt	spazwAt
sPwagraNgAt	sPuwagrahAt
maDyame	maDyame
mandaPalasaMskfta	mandaPalasaMskfte
Une	Une
sati	sati
Seze	Seze
SoDyam	SoDyam
anUne	anUne
syazwAdaDikaM	spazwADike
mandaPalasaMskfte	mandaPalasaMskfte
sati	sati
Seye	Seze
deyam	deyam
aTAnantaraM	aTAnantaraM
evaM	evaM
saMskfte	saMskfte
Seze	Seze
abDisaMKyezu	abDisaMKyezu
rASizu	rASizu
dfzwezu	dfzwezu
vakrAM	vakraM
vivItyupadeSaH	vidDItyupadeSaH
aTa	aTa
ftuzu	ftuzu
zawsu	zawsu
rASizu	rASizu
dfzwezu	dfzwezu
machAvakAM	mahAvakraM
vivi	vidDi
-	aTa
ftuzviti	ftuzviti
sanDO	sanDO
prApte	prApte
ftyaka	ftyakaH
iti	iti
prakAtiBAvAnna	prakftiBAvAnna
Bavati	Bavati
azwAsu	azwAsu
rASiGu	rASizu
dfCezu	dfzwezu
vakratyAgaM	vakratyAgaM
viu~Iti	vidDIti
sambanDa	sambanDaH
yadA	yadA
punarUnADikaM	punarUnADikaM
kaMnwra	kendra
tadA	tadA
karttavyamAha	karttavyamAha
kendradyuButayetipUrvAddizwAnAM	kendradyuBuktyetipUrvoddizwAnAM
vakrakendraBAgAnAmanuvakrakendraBAgAnAM	vakrakendraBAgAnAmanuvakrakendraBAgAnAM
ca	ca
KaSIGrakendraBAgEstaddivasaBavEH	svaSIGrakendraBAgEstaddivasaBavEH
sahrAntare	sahAntare
kvate	kfte
ye	ye
BAgAstezAM	BAgAste^vA
kendradyuBujYayA	kendradyuBuktyA
mandaPalasPa़्wA	mandaPalasPuwA
yA	yA
grahaBuptiAstayA	grahaBuktistayA
UMnA	UnA
SIGrasya	SIGrasya
yAMdyuBuktiH	yA^dyuBukti
dinaBavA	dinaBavA
ekadinajA	ekadinajA
BuktistayA	BuktistayA
haraRa	haraRe
labDAni	labDAni
vakradinAdanuvakradinAddA	vakradinAdanuvakradinAdvA
yAtAni	yAtAni
gatAni	gatAni
yayAni	yeyAni
gasyAni	gamyAni
vA	vA
ahnAni	ahAni
SezAt	SezAt
zazWayAdiguRAttanEva	zazWyAdiguRAttenEva
BAgachAreRa	BAgahAreRa
GawikAdyaH	GawikAdayaH
atrApi	atrApi
SIGraMIcaBuNktI	SIGroccaBukteH
grahrasPwaBukAiM	grahasPuwaBuktiM
tyakA	tyaktvA
Seze	Seze
grahrisya	grahasya
mandaPalasPuwaBuktaH	mandaPalasPuwaBukteH
SIGraPalasPuwaBulIKAntarasya	SIGraPalasPuwaBukteScAntarasya
dalaM	dalaM
sPawaBuktErmandasPwaBujYAvUnAyAM	sPuwaBuktermandasPuwaBuktAvUnAyAM
Seze	Seze
SoDyamaDikAyAM	SoDyamaDikAyAM
Danamiti	Danamiti
drazwavyam	drazwavyam
58	59
idAnIM	idAnIM
rASiviSezezu	rASiviSezezu
gatEravAntaramedaM	gateravAntaraBedaM
mandAkrAntAdvaktenAha^mOnAjAdAvatiSayacalA	mandAkrAntAvfttenAhamInAjAdAvatiSayacalA
goGawAdO	goGawAdO
ca	ca
SOGrA	SIGrA
SEGra	SEGre
kendre	kendre
miTunamakarAdO	miTunamakarAdO
ca	ca
nEsargikO	nEsargikI
syAt	syAt
kakrtAdayaDe	karkAdyArDe
Bavati	Bavati
DanuzaSvAntyaKaRqe	DanuzaScAntyaKaRqe
ca	ca
mandA	mandA
cApAdyaDe2SaSiBaSakale$ntye$ti	cApAdyarDe2SaSiBaSakale$ntye$ti
mandA	mandA
pradizwA	pradizwA
60	60
سس1	1
atra	atra
yadyapi	yadyapi
mUlIkrayA	mUloktyA
sPUwasya	^sPuwasya
maDyamasya	maDyamasya
ca	ca
yaddivaraM	yadvivaraM
ehyetAvanmAtraM	etyetAvanmAtraM
vanumucitaM	vaktumucitaM
taMdyApi	taTApi
wrEkiMIkaMtrtuM	wIkAkarttuH
pUrvAparasandarBAnusAraRa	pUrvAparasandarBAnusAreRa
spawasya	spazwasya
sPUwasTa	sPuwasya
maDyasya	maDyasya
mandaPalasPUwagya	mandaPalasPuwasya
